libmodplug 0.8.9.0-3
libmpc 1.2.1-1
libndp 1.8-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-5
libnfnetlink 1.0.1-4
libnftnl 1.2.0-1
libnghttp2 1.44.0-1
libnl 3.5.0-3
libnm 1.32.10-1
libnma 1.8.32-1
libnotify 0.7.9-1
libnsl 1.3.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libp11-kit 0.24.0-1
libpaper 1.1.28-1
libpcap 1.10.1-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libpipeline 1.5.3-1
libpng 1.6.37-3
libproxy 0.4.17-2
libpsl 0.21.1-1
libpulse 15.0-1
libraqm 0.7.1-1
libraw 0.20.2-1
libraw1394 2.1.2-3
librsvg 2:2.50.7-1
libsamplerate 0.2.1-1
libsasl 2.1.27-3
libseccomp 2.5.1-2
libsecret 0.20.4-1
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.0-1
libsoxr 0.1.3-2
libssh 0.9.5-1
libssh2 1.9.0-3
libtasn1 4.17.0-1
libteam 1.31-3
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.5.0-1
libusb 1.0.24-2
libusb-compat 0.1.7-1
libutempter 1.2.1-1
libutf8proc 2.6.1-1
libva 2.12.0-1
libvdpau 1.4-1
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.10.0-1
libwacom 1.11-1
libwebp 1.2.1-1
libwmf 0.2.12-2
libx11 1.7.2-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.25-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.0-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.3.0-1
libxkbcommon-x11 1.3.0-1
libxkbfile 1.1.0-2
libxml2 2.9.10-9
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
licenses 20200427-1
light 1.2.2-2
linux 5.13.12.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210818.c46b8c3-1
linux-headers 5.13.12.arch1-1
llvm-libs 12.0.1-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lua53 5.3.6-1
luit 20201003-1
lxmenu-data 0.1.5-3
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.12-2
mathjax2 2.7.9-1
mc 4.8.27-1
md4c 0.4.8-1
menu-cache 1.1.0-2
mesa 21.2.1-1
minizip 1:1.2.11-4
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0.p13-1
mtdev 1.1.6-1
mupdf 1.18.0-2
nano 5.8-1
ncdu 1.16-1
ncurses 6.2-2
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
nload 0.7.4-7
nm-connection-editor 1.24.0-1
nmap 7.92-1
npth 1.6-3
nspr 4.32-1
nss 3.69-1
openbox 3.6.1-7
opencore-amr 0.1.5-5
opencv 4.5.3-4
openexr 3.1.1-1
openjpeg2 2.4.0-1
openssh 8.7p1-1
openssl 1.1.1.l-1
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.24.0-1
pacman 6.0.0-5
pacman-mirrorlist 20210822-1
pahole 1.21-1
pam 1.5.1-1
pambase 20210605-2
pango 1:1.48.9-2
parted 3.4-2
patch 2.7.6-8
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
pinentry 1.1.1-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.119-1
popt 1.18-1
portaudio 1:19.7.0-1
procps-ng 3.3.17-1
protobuf 3.17.3-1
psmisc 23.4-1
python 3.9.6-1
python-apipkg 1.5-5
python-appdirs 1.4.4-3
python-argon2_cffi 20.1.0-3
python-async_generator 1.10-5
python-attrs 21.2.0-1
python-backcall 0.2.0-4
python-bleach 4.1.0-1
python-bokeh 2.3.3-1
python-cachecontrol 0.12.6-3
python-cachetools 4.2.2-1
python-cairo 1.20.0-3
python-cffi 1.14.6-1
python-chardet 4.0.0-2
python-cheroot 8.5.2-2
python-cherrypy 18.6.1-1
python-click 8.0.1-1
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-cycler 0.10.0-8
python-dateutil 2.8.2-1
python-debugpy 1.4.1-2
python-decorator 5.0.9-1
python-defusedxml 0.7.1-2
python-distlib 0.3.2-1
python-distro 1.5.0-3
python-entrypoints 0.3-6
python-flask 2.0.1-1
python-gitdb 1:4.0.7-1
python-gitpython 3.1.18-1
python-gobject 3.40.1-1
python-google-api-core 2.0.0-1
python-google-api-python-client 2.17.0-1
python-google-auth 1.32.1-1
python-google-auth-httplib2 0.1.0-1
python-googleapis-common-protos 1.53.0-1
python-h5py 3.2.1-1
python-html5lib 1.1-6
python-httplib2 0.19.1-1
python-idna 3.2-1
python-importlib-metadata 4.6.1-1
python-iniconfig 1.1.1-1
python-ipykernel 6.0.3-2
python-ipywidgets 7.6.3-1
python-itsdangerous 2.0.1-1
python-jaraco 2021.03.28-1
python-jedi 0.18.0-2
python-jinja 3.0.1-1
python-joblib 1.0.1-1
python-jsonschema 3.2.0-4
python-jupyter_client 6.1.12-1
python-jupyter_core 4.7.1-1
python-kiwisolver 1.3.1-3
python-markupsafe 2.0.1-1
python-matplotlib 3.4.2-3
python-matplotlib-inline 0.1.2-1
python-mistune 0.8.4-6
python-more-itertools 8.8.0-1
python-msgpack 1.0.2-2
python-nest_asyncio 1.5.1-1
python-numexpr 2.7.3-1
python-numpy 1.20.3-1
python-oauth2client 4.1.3-6
python-opencv 4.5.3-4
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pandas 1.3.2-1
python-pandocfilters 1.4.3-3
python-parso 1:0.8.2-1
python-pep517 0.11.0-1
python-pexpect 4.8.0-3
python-pickleshare 0.7.5-6
python-pillow 8.3.1-1
python-pip 20.3.4-1
python-pluggy 0.13.1-4
python-ply 3.11-7
python-portend 2.7.1-1
python-progress 1.5-5
python-prometheus_client 0.11.0-1
python-prompt_toolkit 3.0.20-1
python-protobuf 3.17.3-1
